IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.198.139,2096,2096,true,SIN,Asia Pacific,Singapore,156,4.01
47.74.50.249,2096,2096,true,LAX,North America,Los Angeles,238,4.01
8.219.193.202,2082,2082,false,SIN,Asia Pacific,Singapore,49,4.00
8.219.201.174,2053,2053,true,SIN,Asia Pacific,Singapore,120,4.00
47.74.9.174,2095,2095,false,LAX,North America,Los Angeles,172,4.00
8.222.182.10,2096,2096,true,SIN,Asia Pacific,Singapore,72,4.00
47.76.37.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,94,3.99
47.243.161.235,8880,8880,false,HKG,Asia Pacific,Hong Kong,50,3.99
47.74.52.188,8880,8880,false,LAX,North America,Los Angeles,182,3.99
8.219.209.14,2052,2052,false,SIN,Asia Pacific,Singapore,14,3.99
8.219.56.205,2053,2053,true,SIN,Asia Pacific,Singapore,93,3.99
8.219.1.92,8443,8443,true,SIN,Asia Pacific,Singapore,56,3.98
47.74.21.248,2082,2082,false,NRT,Asia Pacific,Tokyo,70,3.98
8.219.193.22,2087,2087,true,SIN,Asia Pacific,Singapore,178,3.98
47.236.172.71,2096,2096,true,SIN,Asia Pacific,Singapore,93,3.98
47.91.31.231,8443,8443,true,LAX,North America,Los Angeles,198,3.98
8.222.229.22,2096,2096,true,SIN,Asia Pacific,Singapore,88,3.98
47.243.70.197,2096,2096,true,HKG,Asia Pacific,Hong Kong,59,3.97
8.219.241.189,2087,2087,true,SIN,Asia Pacific,Singapore,151,3.97
47.242.234.127,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,3.97
47.236.7.13,8080,8080,false,SIN,Asia Pacific,Singapore,129,3.97
8.217.85.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,3.97
8.219.63.193,2083,2083,true,SIN,Asia Pacific,Singapore,37,3.96
8.209.243.172,2087,2087,true,LAX,North America,Los Angeles,239,3.96
